Name,Services,Cost
ABB 6131/31-24-500 Busch-Presence detector premium ,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'L-1a', 'condition': None, 'domain': 'Lighting', 'level': 2}, {'service': 'L-2', 'condition': None, 'domain': 'Lighting', 'level': 2}, {'service': 'V-6', 'condition': None, 'domain': 'Ventilation', 'level': 1}, {'service': 'MC-9', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",3570.0
Apricus ETC-30 solar collector,"[{'service': 'DHW-1d', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}]",2000.0
Belimo Energy Valve,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-1b', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-1d', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-2b', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-2d', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'DHW-2b', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1b', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1c', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-2b', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'V-1c', 'condition': None, 'domain': 'Ventilation', 'level': 4}]",6327.0
Bosch Compress 7000i AW,"[{'service': 'H-1b', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2b', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-2d', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-2b', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-3', 'condition': None, 'domain': 'Cooling', 'level': 4}, {'service': 'C-4', 'condition': None, 'domain': 'Cooling', 'level': 3}]",9109.0
Bosch Greenstar 100-P Combi,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-2d', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}, {'service': 'DHW-3', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}]",4809.0
Bosch Thermotechnology - Bosch TR200,"[{'service': 'H-3', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'MC-3', 'condition': None, 'domain': 'Monitoring and control', 'level': 3}, {'service': 'MC-4', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-13', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}, {'service': 'MC-25', 'condition': None, 'domain': 'Monitoring and control', 'level': 2}]",4000.0
Broan AI Series 110 CFM Heat Recovery Ventilator,"[{'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'V-1a', 'condition': None, 'domain': 'Ventilation', 'level': 4}, {'service': 'MC-13', 'condition': None, 'domain': 'Monitoring and control', 'level': 1}]",1906.0
Daikin Altherma 3,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2b', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-4', 'condition': None, 'domain': 'Heating', 'level': 4}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 2}, {'service': 'DHW-2b', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'DHW-3', 'condition': None, 'domain': 'Domestic hot water', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 3}]",10260.0
Daikin VRV IV S-Series ,"[{'service': 'H-1a', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-2b', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'C-1a', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1b', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-1c', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1f', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 3}]",7330.0
Danfoss ECL Comfort,"[{'service': 'H-1b', 'condition': None, 'domain': 'Heating', 'level': 2}, {'service': 'H-1c', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-1d', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'H-2a', 'condition': None, 'domain': 'Heating', 'level': 1}, {'service': 'H-2d', 'condition': None, 'domain': 'Heating', 'level': 3}, {'service': 'DHW-1a', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'domain': 'Domestic hot water', 'level': 1}, {'service': 'C-1b', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1c', 'condition': None, 'domain': 'Cooling', 'level': 2}, {'service': 'C-1d', 'condition': None, 'domain': 'Cooling', 'level': 3}, {'service': 'C-1g', 'condition': None, 'domain': 'Cooling', 'level': 1}, {'service': 'C-2a', 'condition': None, 'domain': 'Cooling', 'level': 3}]",1359.0
