SRI-ENACT intervention technology;Code;Functionality level
Honeywell Home RTH5160D1003 Simple Display Non-Programmable Thermostat ;H-1d;Level 1 
;H-4;Level 1
;C-1d;Level 1
;C-4;Level 1
;MC-3;Level 1
Google Nest Learning Thermostat (single thermostat);H-1a ;Level 1 
;H-3;Level 2
;H-4;Level 3
;C-1a ;Level 1
;C-3;Level 2
;C-4;Level 2
;DHW-1b;Level 1
;E-12;Level 4
;MC-9;Level 1
Google Nest Learning Thermostat (multiple thermostats);H-1a ;Level 4 
;H-3;Level 2
;H-4;Level 3
;C-1a ;Level 4
;C-3;Level 2
;C-4;Level 2
;DHW-1b;Level 1
;E-12;Level 4
;MC-9;Level 1
Honeywell T9 Smart Thermostat (single thermostat);H-1a ;Level 1 
;H-3;Level 1
;H-4;Level 2
;C-1a ;Level 1
;C-3;Level 2
;C-4;Level 2
;MC-4;Level 1
;MC-9;Level 1
Honeywell T9 Smart Thermostat (multiple thermostats);H-1a ;Level 4 
;H-3;Level 1
;H-4;Level 2
;C-1a ;Level 4
;C-3;Level 2
;C-4;Level 2
;MC-4;Level 1
;MC-9;Level 1
Ecobee SmartThermostat (single thermostat);H-1a ;Level 1
;H-2a;Level 2
;C-1a ;Level 1
;V-1a ;Level 3
;E-12;Level 4
;MC-3;Level 3
;MC-4;Level 2
;MC-9;Level 2
;MC-13;Level 3
;MC-25;Level 2
;MC-29;Level 2
;MC-30;Level 3
Ecobee SmartThermostat (multiple thermostats);H-1a ;Level 4
;H-2a;Level 2
;C-1a ;Level 4
;V-1a ;Level 3
;E-12;Level 4
;MC-3;Level 3
;MC-4;Level 2
;MC-9;Level 2
;MC-13;Level 3
;MC-25;Level 2
;MC-29;Level 2
;MC-30;Level 3
Sunamp Thermino 150 e Heat Battery;H-1f;Level 3
;DHW-1a;Level 2
;C-1g;Level 2
;E-3;Level 2
;E-8;Level 3
;E-11;Level 2
;MC-3;Level 2
;MC-25;Level 1
Ice Energy Ice Bear 20 ;C-1g;Level 3
;C-4;Level 3
;E-5;Level 2
;MC-28;Level 2
Steffes Comfort Plus Forced Air Furnace Model 4120;H-1a ;Level 1
;H-1f;Level 2
;H-2b ;Level 1
;E-5;Level 1
;MC-13 ;Level 2
;MC-30;Level 1
Bosch Greenstar 100-P Combi;H-1a ;Level 1
;H-1c;Level 1
;H-2a ;Level 1
;H-2d ;Level 1
