Name,Services,Cost,Desc,img
ABB 6131/31-24-500 Busch-Presence detector premium ,"[{'service': 'H-1a', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 3}, {'service': 'L-1a', 'condition': None, 'level': 2}, {'service': 'L-2', 'condition': None, 'level': 2}, {'service': 'V-6', 'condition': None, 'level': 1}, {'service': 'MC-9', 'condition': None, 'level': 1}]",3570.0,"The ABB 6131/31-24-500 Busch-Presence Detector Premium KNX is a presence detector designed for KNX building automation systems. It combines advanced sensing technology with KNX integration, allowing control over lighting and HVAC systems based on occupancy. It also includes features such as adjustable detection sensitivity, and selectable presence and absence detection modes.",ABB_Busch-Presence_detector_premium.jpg
Apricus ETC-30 solar collector,"[{'service': 'DHW-1d', 'condition': None, 'level': 2}]",2000.0,"The Apricus ETC-30 solar collector is a vacuum tube solar thermal collector designed for efficient heat absorption. It utilizes evacuated tubes to maximize solar energy capture, suitable for various residential and commercial applications, particularly in climates with moderate to cold temperatures.",Apricus_ETC-30_solar_collector.webp
Belimo Energy Valve,"[{'service': 'H-1a', 'condition': None, 'level': 2}, {'service': 'H-1b', 'condition': None, 'level': 2}, {'service': 'H-1c', 'condition': None, 'level': 2}, {'service': 'H-1d', 'condition': None, 'level': 3}, {'service': 'H-2a', 'condition': None, 'level': 1}, {'service': 'H-2b', 'condition': None, 'level': 1}, {'service': 'H-2d', 'condition': None, 'level': 1}, {'service': 'H-3', 'condition': None, 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'level': 1}, {'service': 'DHW-2b', 'condition': None, 'level': 1}, {'service': 'C-1a', 'condition': None, 'level': 2}, {'service': 'C-1b', 'condition': None, 'level': 2}, {'service': 'C-1c', 'condition': None, 'level': 2}, {'service': 'C-1d', 'condition': None, 'level': 3}, {'service': 'C-2b', 'condition': None, 'level': 2}, {'service': 'C-3', 'condition': None, 'level': 1}, {'service': 'V-1c', 'condition': None, 'level': 4}]",6327.0,"The Belimo Energy Valve is a sophisticated valve designed for HVAC systems to enhance energy efficiency and performance. It integrates control and measurement functions into a single unit, enabling precise regulation of water flow and temperature in heating and cooling systems. With built-in sensors and communication capabilities, it helps in optimizing energy usage and improving system efficiency while providing real-time data for maintenance and performance monitoring.",Belimo_Energy_Valve.jpg
Bosch Compress 7000i AW,"[{'service': 'H-1b', 'condition': None, 'level': 3}, {'service': 'H-1c', 'condition': None, 'level': 2}, {'service': 'H-2b', 'condition': None, 'level': 3}, {'service': 'H-2d', 'condition': None, 'level': 2}, {'service': 'H-4', 'condition': None, 'level': 3}, {'service': 'DHW-1b', 'condition': None, 'level': 2}, {'service': 'C-2a', 'condition': None, 'level': 3}, {'service': 'C-2b', 'condition': None, 'level': 3}, {'service': 'C-3', 'condition': None, 'level': 4}, {'service': 'C-4', 'condition': None, 'level': 3}]",9109.0,"The Bosch Compress 7000i AW is a high-efficiency air-to-water heat pump designed for residential and commercial heating and cooling applications. It offers advanced energy performance with a high coefficient of performance (COP) and integrates easily with existing heating systems. This model features a compact design for easy installation and operation in various climates, providing reliable and cost-effective climate control while minimizing environmental impact. It supports both heating and cooling functions, making it versatile for year-round comfort.",Bosch_Compress_7000i_AW.jpg
Bosch Greenstar 100-P Combi,"[{'service': 'H-1a', 'condition': None, 'level': 1}, {'service': 'H-1c', 'condition': None, 'level': 1}, {'service': 'H-2a', 'condition': None, 'level': 1}, {'service': 'H-2d', 'condition': None, 'level': 1}, {'service': 'H-3', 'condition': None, 'level': 1}, {'service': 'DHW-1a', 'condition': None, 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'level': 2}, {'service': 'DHW-3', 'condition': None, 'level': 1}]",4809.0,"The Bosch Greenstar Combi Boilers are high-efficiency, wall-mounted units designed to provide both heating and hot water in one compact system. Featuring a 95% AFUE efficiency rating and up to 5:1 modulation, these boilers offer robust performance with simplified installation thanks to their integral pump and lightweight design. They include advanced features such as an aluminum-magnesium-silicon heat exchanger for extended durability, a stainless-steel plate heat exchanger for consistent hot water delivery, and a full modulating fan for optimal combustion. ",Bosch_Greenstar_100-P_Combi.webp
Bosch Thermotechnology - Bosch TR200,"[{'service': 'H-3', 'condition': None, 'level': 3}, {'service': 'H-4', 'condition': None, 'level': 3}, {'service': 'MC-3', 'condition': None, 'level': 3}, {'service': 'MC-4', 'condition': None, 'level': 2}, {'service': 'MC-13', 'condition': None, 'level': 2}, {'service': 'MC-25', 'condition': None, 'level': 2}]",4000.0,"The Bosch TR200 is a high-precision temperature and pressure sensor designed for industrial and HVAC applications. It provides accurate measurements and reliable performance for monitoring and controlling heating, ventilation, and air conditioning systems. The sensor's design ensures durability in various environments, while its integration capabilities support efficient system management and fault detection.",Bosch_Thermotechnology_-_Bosch_TR200.jpg
Broan AI Series 110 CFM Heat Recovery Ventilator,"[{'service': 'C-1a', 'condition': None, 'level': 3}, {'service': 'V-1a', 'condition': None, 'level': 4}, {'service': 'MC-13', 'condition': None, 'level': 1}]",1906.0,"The Broan AI Series 110 CFM HRV (Heat Recovery Ventilator) is designed for medium-sized homes, providing balanced ventilation with heat recovery capabilities. It efficiently exchanges indoor and outdoor air while recovering heat from exhaust air to minimize energy loss. This system improves indoor air quality by filtering pollutants and allergens, operates quietly, and integrates advanced features for optimal comfort and energy efficiency. ",Broan_AI_Series_110_CFM_Heat_Recovery_Ventilator.jpg
Daikin Altherma 3,"[{'service': 'H-1a', 'condition': None, 'level': 3}, {'service': 'H-1c', 'condition': None, 'level': 2}, {'service': 'H-2b', 'condition': None, 'level': 3}, {'service': 'H-4', 'condition': None, 'level': 4}, {'service': 'DHW-1a', 'condition': None, 'level': 2}, {'service': 'DHW-2b', 'condition': None, 'level': 3}, {'service': 'DHW-3', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 3}, {'service': 'C-2a', 'condition': None, 'level': 3}]",10260.0,"The Daikin Altherma 3 is an advanced air-to-water heat pump designed for residential heating and cooling. It efficiently extracts heat from the outside air to provide heating, cooling, and domestic hot water. The system is known for its energy efficiency and flexibility, offering models suitable for both high and low-temperature applications. It integrates with existing heating systems and is capable of operating in a wide range of temperatures.",Daikin_Altherma_3.jpg
Daikin VRV IV S-Series ,"[{'service': 'H-1a', 'condition': None, 'level': 2}, {'service': 'H-1c', 'condition': None, 'level': 2}, {'service': 'H-2b', 'condition': None, 'level': 3}, {'service': 'C-1a', 'condition': None, 'level': 2}, {'service': 'C-1b', 'condition': None, 'level': 3}, {'service': 'C-1c', 'condition': None, 'level': 2}, {'service': 'C-1d', 'condition': None, 'level': 2}, {'service': 'C-1f', 'condition': None, 'level': 2}, {'service': 'C-2a', 'condition': None, 'level': 3}]",7330.0,"The Daikin VRV IV S-Series is a versatile HVAC system designed for residential and light commercial applications. It combines advanced technology with energy efficiency, offering flexible configurations to meet diverse heating and cooling needs. With options ranging from 36,000 to 60,000 Btu/h capacity, it accommodates various building sizes and layouts. Key features include quiet operation, long piping lengths for installation flexibility, and a range of indoor unit styles to blend seamlessly into any space. ",Daikin_VRV_IV_S-Series.jpg
Danfoss ECL Comfort,"[{'service': 'H-1b', 'condition': None, 'level': 2}, {'service': 'H-1c', 'condition': None, 'level': 1}, {'service': 'H-1d', 'condition': None, 'level': 3}, {'service': 'H-2a', 'condition': None, 'level': 1}, {'service': 'H-2d', 'condition': None, 'level': 3}, {'service': 'DHW-1a', 'condition': None, 'level': 1}, {'service': 'DHW-1b', 'condition': None, 'level': 1}, {'service': 'C-1b', 'condition': None, 'level': 2}, {'service': 'C-1c', 'condition': None, 'level': 2}, {'service': 'C-1d', 'condition': None, 'level': 3}, {'service': 'C-1g', 'condition': None, 'level': 1}, {'service': 'C-2a', 'condition': None, 'level': 3}]",1359.0,"The Danfoss ECL Comfort is an advanced control system designed for efficient management of heating, cooling, and domestic hot water systems in buildings. It provides versatile control options, from basic on/off settings to sophisticated functions like individual room management and thermal energy storage. The system supports integration with Building Automation Control Systems (BACS), offers real-time and historical performance reporting, and facilitates grid interaction for optimized energy use. ",Danfoss_ECL_Comfort.jpg
